,Depedency,YOGO,Glove,,Word2Vec,,,,,,,OWN,,,,,,,,,
,,,,,,,,,,,,Universal,,,,,Standford,,,,
Eval_Dataset,WIKI_DL_wikipedia_output_res_150_50,WIKI_YL_dim150vecs_wikipedia_100,WIKI_G_wikipedia_vectors_mc_100.ws_15,WIKI_G_wikipedia_vectors_mc_100.ws_5,WIKI_W_wikipedia_word2vec_vec_15_cbow_mc_100,WIKI_W_wikipedia_word2vec_vec_15_sg_mc_100,WIKI_W_wikipedia_word2vec_vec_15_sg_mc_200,WIKI_W_wikipedia_word2vec_vec_5_cbow_mc_100,WIKI_W_wikipedia_word2vec_vec_5_cbow_mc_200,WIKI_W_wikipedia_word2vec_vec_5_sg_mc_100,WIKI_W_wikipedia_word2vec_vec_5_sg_mc_200,WIKI_OL_Wikipedia_DP_Unique_Useful,WIKI_OL_Wikipedia_DP_Unique,WIKI_OL_Wikipedia_WN_DP_Unique_Useful,WIKI_OL_Wikipedia_WN_DP_Unique,WIKI_OL_Wikipedia_WN_Unique,WIKI_OL_wikipediaUD_DP_Unique_Useful,WIKI_OL_wikipediaUD_DP_Unique,WIKI_OL_wikipediaUD_WN_DP_Unique_Useful,WIKI_OL_wikipediaUD_WN_DP_Unique,WIKI_OL_wikipediaUD_WN_Unique
STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS
2012_MSRpar_FYB,0.03668,0.04158,0.02125,0.0192,0.02688,0.01951,0.0134,0.02707,0.02031,0.02459,0.01388,0.03848,0.04112,0.02603,0.0387,0.01154,0.02892,0.04181,0.0324,0.03848,0.01516
2012_MSRvid_FYB,-0.02326,0.10311,0.26535,0.15879,0.3266,0.41352,0.26979,0.27295,0.20718,0.39703,0.25158,0.11594,0.21231,0.15111,0.22091,-0.03509,0.14851,0.21078,0.13304,0.20722,-0.01118
2012_SMTeuroparl_FYC,0.50146,0.43827,0.40631,0.41147,0.42968,0.46901,0.47797,0.43354,0.42398,0.4705,0.46963,0.43094,0.44031,0.4457,0.42315,0.33978,0.40316,0.3879,0.40946,0.437,0.35225
2012_surprise.OnWN_FYC,0.38933,0.40825,0.52765,0.51976,0.55141,0.46591,0.46161,0.53277,0.53543,0.49507,0.48622,0.50975,0.4653,0.50747,0.46677,0.46673,0.50002,0.48676,0.51153,0.47668,0.43021
2012_surprise.SMTnews_FYC,0.18162,0.35,0.40572,0.39985,0.41003,0.3807,0.33534,0.36553,0.33809,0.38317,0.33678,0.35381,0.33775,0.33586,0.3464,0.30892,0.35894,0.40649,0.34905,0.34759,0.23937
2013_FNWN_FYC,0.07411,0.21133,0.16069,0.16805,0.19002,0.21825,0.19022,0.15972,0.21355,0.20302,0.19485,0.15883,0.20496,0.17481,0.21969,0.07655,0.13026,0.18463,0.15213,0.2368,0.09367
2013_OnWN_FYC,0.21218,0.36393,0.08176,0.09731,0.22144,0.19744,0.19864,0.25994,0.28576,0.23435,0.2166,0.22798,0.31435,0.3111,0.336,0.18226,0.38931,0.37134,0.32423,0.35863,0.07751
2013_headlines_FYB,0.45991,0.52212,0.56981,0.55214,0.59873,0.56715,0.54858,0.57711,0.54657,0.56352,0.53459,0.60398,0.57021,0.59486,0.56594,0.51786,0.57216,0.56825,0.57541,0.56809,0.56137
2014_OnWN_FYC,0.30319,0.43734,0.29891,0.31532,0.41866,0.37113,0.37928,0.43092,0.45746,0.40401,0.40031,0.34186,0.36403,0.39659,0.39012,0.3397,0.42381,0.39106,0.43197,0.41276,0.17942
2014_deft-forum_FYB,0.02353,0.02922,0.07551,0.08666,0.08477,0.01103,0.01673,0.07176,0.09038,0.01945,0.02986,0.0878,0.06418,0.07931,0.07617,0.091,0.10151,0.08658,0.08114,0.06871,0.09995
2014_deft-news_FYB,0.39248,0.53756,0.49715,0.49013,0.56997,0.5667,0.54273,0.54172,0.51509,0.56777,0.5313,0.5034,0.51915,0.52299,0.536,0.38723,0.55752,0.52765,0.54367,0.51713,0.35389
2014_headlines_FYB,0.42128,0.475,0.52878,0.51788,0.55642,0.50997,0.51759,0.53333,0.53054,0.51163,0.5215,0.52592,0.51313,0.53886,0.52451,0.48464,0.53926,0.52288,0.53126,0.51732,0.50994
2014_images_FYB,0.1983,0.25813,0.40246,0.3356,0.43631,0.49856,0.48124,0.38568,0.4029,0.48561,0.45303,0.29064,0.27247,0.28032,0.29483,0.24725,0.31408,0.28135,0.34292,0.25367,0.17842
2014_tweet-news_FYC,0.47884,0.55528,0.61481,0.62064,0.6547,0.56938,0.57679,0.63388,0.639,0.58752,0.59639,0.64778,0.60727,0.62738,0.61167,0.60786,0.65092,0.60877,0.65527,0.60918,0.61124
2015_answers-forums_FYB,0.08503,0.15333,0.10383,0.08951,0.13845,0.14694,0.1413,0.14178,0.11097,0.13266,0.13218,0.11,0.09405,0.08197,0.0948,0.12465,0.12257,0.0854,0.11722,0.12505,0.08813
2015_belief_FYC,0.29652,0.30884,0.43752,0.45191,0.50669,0.40434,0.42636,0.48573,0.5111,0.41478,0.44072,0.44823,0.41276,0.45109,0.40714,0.39489,0.45003,0.44063,0.4782,0.42514,0.38677
2015_headlines_FYB,0.50851,0.55118,0.62936,0.61862,0.64558,0.61089,0.60627,0.62093,0.61158,0.61254,0.60125,0.60894,0.588,0.62512,0.60759,0.55754,0.60246,0.5877,0.61944,0.60121,0.58026
2015_images_FYB,0.25282,0.41563,0.50826,0.46364,0.57223,0.54417,0.52776,0.52459,0.51334,0.53972,0.51427,0.41631,0.40289,0.43342,0.45604,0.33,0.41862,0.41857,0.45716,0.41657,0.26804
2016_answer-answer_FYB,0.13539,0.20418,0.1372,0.16459,0.17292,0.1362,0.14118,0.19582,0.18367,0.15586,0.1511,0.23329,0.26568,0.22444,0.2559,0.22827,0.26314,0.27806,0.21996,0.27717,0.18958
2016_headlines_FYB,0.41952,0.56626,0.56513,0.56866,0.61153,0.58284,0.59353,0.60101,0.56267,0.58702,0.58235,0.62993,0.57992,0.62498,0.59349,0.59236,0.63859,0.59058,0.61451,0.59895,0.585
2016_plagiarism_FYC,0.27693,0.44121,0.41154,0.43372,0.53543,0.42137,0.44826,0.49255,0.52614,0.43516,0.45397,0.4158,0.37884,0.43045,0.40819,0.44572,0.50104,0.41278,0.45942,0.37649,0.43237
2016_postediting_FYC,0.17095,0.17767,0.21431,0.23521,0.28162,0.15306,0.16509,0.25966,0.2671,0.17625,0.18069,0.27706,0.27311,0.28819,0.27424,0.28585,0.28408,0.26309,0.29012,0.27545,0.31672
2016_question-question_FYC,-0.15275,-0.03156,-0.07728,-0.10042,-0.04292,-0.00842,0.00459,-0.02592,-0.02688,-0.01062,-0.00655,-0.04985,0.00153,-0.05205,-0.01183,-0.10589,0.05697,0.04881,-0.0211,0.00784,-0.09928
2017_track5.en-en_FYB,0.26687,0.41623,0.50553,0.50803,0.52853,0.47896,0.48061,0.48773,0.50757,0.48769,0.47865,0.45988,0.42718,0.45553,0.42631,0.47783,0.47164,0.4249,0.47205,0.41862,0.42376
2018_MSRpar_FYB,0.04964,0.05178,0.04226,0.0348,0.05563,0.03852,0.03365,0.05268,0.03964,0.04185,0.03409,0.05072,0.0667,0.04915,0.05482,0.02361,0.05521,0.05803,0.05129,0.06124,0.03731
SICK__FYC,0.39891,0.57615,0.54428,0.51005,0.54856,0.59721,0.59059,0.51444,0.51476,0.58631,0.57418,0.58594,0.58588,0.58986,0.60391,0.48709,0.59994,0.59382,0.60106,0.58646,0.48701
WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS
EN-MC-30,0.089462562011348,0.77688806587416,0.280095775614226,0.308481550188073,0.489740110719867,0.547537651719628,0.738818900736305,0.501368018376624,0.682480870847383,0.531463779370582,0.655794435636841,0.54527538527736,0.48614023278456,0.67857587485488,0.65837136441984,0.72465201450552,0.49574969506464,0.41542444626192,0.66256010438808,0.61820874001848,0.7465813002216
EN-MEN-TR-3k,0.161476710793075,0.561530540080087,0.420010156869916,0.30578799760921,0.550772384398302,0.571216655652945,0.610226897659795,0.488032634569368,0.526915933897861,0.54295515265764,0.581933842986745,0.515988213752075,0.484843472562584,0.588313637894457,0.572764114116754,0.459709554177415,0.569123060964821,0.540408157876723,0.623587277006857,0.622202932378816,0.46970193497651
EN-MTurk-287,0.059633885534367,0.566498766541154,0.462815992088368,0.398325286833066,0.537462520052071,0.530407637136258,0.605080579971832,0.526753648318934,0.595344908478313,0.539445183597423,0.593321347367985,0.52382623404233,0.518302084935612,0.546717346034483,0.530095126885315,0.315732836498968,0.541442841943827,0.554721180054146,0.577967767688267,0.566748411557216,0.381861784184763
EN-MTurk-771,0.158252172200364,0.579721636072166,0.345470062413332,0.287948123284608,0.470162632728899,0.476647785272884,0.521369193561146,0.43602098273011,0.449317500209431,0.462756045485541,0.487671379395544,0.422020813001414,0.391206957485145,0.549219526615431,0.540072847642726,0.509892365338692,0.460492422959576,0.443665026820417,0.547719919311961,0.549963183745398,0.504251350801686
EN-RG-65,0.050966550715829,0.669365092748783,0.335095157852627,0.313772888441462,0.499503925545825,0.495174530741527,0.698040493890507,0.449499415556189,0.658578951195453,0.48110399762756,0.652716713766201,0.536012895656918,0.422232296964099,0.680996274734952,0.694167424163093,0.66591115330578,0.553666768982209,0.397854337793083,0.639241464501952,0.647904706190825,0.708144456539037
EN-RW-STANFORD,0.22729127303412,0.479458426980326,0.33396743798273,0.270969050950827,0.405850869091736,0.378240912635452,0.395225588352135,0.372659285625398,0.401859796290327,0.373732612186552,0.416217295305161,0.323774731768278,0.259463664332824,0.362411849346898,0.373162182809941,0.247474193172255,0.293517828206971,0.300216659994064,0.388513230082922,0.365591071012546,0.250839838969696
EN-SIMLEX-999,0.156727653766108,0.393650991122955,0.15368268186866,0.124116692192711,0.203473176484202,0.194868177850028,0.268070023517228,0.184106965016102,0.241854581687235,0.194656138549737,0.252423227738597,0.218320526767626,0.191169218968197,0.332275191600502,0.292674693818729,0.475163169575972,0.218497894919581,0.224571991210269,0.37342740020474,0.364316212350849,0.494104904758067
EN-SimVerb-3500,0.051809186722171,0.252631467948433,0.081956654781413,0.076587917266625,0.116473870147339,0.103867729142675,0.113419819942695,0.105547588051477,0.118334545594002,0.104781929232612,0.116934316604658,0.125263959226451,0.112841788126803,0.318384266631318,0.289494075743279,0.528354672961503,0.111037164702212,0.116048975609064,0.307241081720681,0.302813512349084,0.518342183260708
EN-VERB-143,-0.076805607330564,0.322239251870429,0.102802991163462,0.121353302022489,0.247692100642932,0.253558455453837,0.218768578225919,0.241691002680732,0.161504750016904,0.230985960974031,0.188582090151981,0.33765024841344,0.293589237939628,0.299246439202252,0.35357809555172,0.378537756010457,0.29380643585515,0.292014553052094,0.309076655971434,0.323924546807535,0.357660611926809
EN-WS-353-ALL,0.371350687298528,0.581280976696094,0.434059629364583,0.370533662726684,0.565872276289673,0.538307016405711,0.588834918667068,0.507386362082304,0.559836134494011,0.529157990375078,0.580496451742619,0.448095195276802,0.38031455071154,0.487936337873648,0.490666808921932,0.477435128990395,0.493901502572183,0.527580997391626,0.553675181783153,0.500420990258891,0.437050579131979
EN-WS-353-REL,0.233742062017745,0.435711203295127,0.413884722467143,0.350120826321955,0.55514665525693,0.528705361491931,0.53123381582449,0.481055249734885,0.485168619844369,0.523180266907458,0.520521073891011,0.355580752064723,0.271647223951271,0.367713253472756,0.38982719131021,0.309817472679268,0.397352356748717,0.45347689282215,0.457426948521934,0.413943715525694,0.274751026616939
EN-WS-353-SIM,0.400541834230025,0.728410753020034,0.50289868242726,0.432785696897988,0.610746326088708,0.603324825987267,0.668289431320621,0.585815394333698,0.668086625300134,0.585210086071145,0.669761196506675,0.56477091522947,0.474473538399342,0.62085468661816,0.606722353558252,0.65645817590806,0.614305754906879,0.626895989300259,0.680330779510461,0.640442369201299,0.57112994787161
EN-YP-130,-0.103544912361121,0.273283295766074,0.170432581796104,0.081458415660046,0.136335799186944,0.30341046173224,0.276446697315217,0.128041524757242,0.058935696974632,0.232752996528615,0.204278517425228,0.100503626767462,0.181851849542084,0.599247588784435,0.546468463485412,0.688262715571046,0.212930474877278,0.031047009236176,0.486575715907225,0.516377841244547,0.657595099523093
CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC
ap,0.32,0.8,0.34765625,0.321637426900585,0.370689655172414,0.363013698630137,0.390374331550802,0.37344398340249,0.381188118811881,0.374458874458874,0.383631713554987,0.573529411764706,0.547058823529412,0.617647058823529,0.579411764705882,0.473529411764706,0.614705882352941,0.576470588235294,0.570588235294118,0.588235294117647,0.508823529411765
battig,0.471247563352826,0.812929061784897,0.396360594017988,0.409193980622552,0.483538191395961,0.478780773739742,0.479724137931034,0.480460269214069,0.49897066392177,0.493782500565227,0.505268846257768,0.69177320733741,0.683435241801001,0.638132295719844,0.624513618677043,0.478043357420789,0.711784324624792,0.70094496942746,0.708727070594775,0.651750972762646,0.470817120622568
essli-2008,1,0.777777777777778,0.525641025641026,0.518987341772152,0.513513513513513,0.6,0.581818181818182,0.493506493506493,0.573529411764706,0.527027027027027,0.558823529411765,0.777777777777778,0.822222222222222,0.822222222222222,0.822222222222222,0.822222222222222,0.666666666666667,0.688888888888889,0.844444444444444,0.844444444444444,0.866666666666667
WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA
capital-common-countries,0.395256916996047,25.8893280632411,76.0869565217391,59.8814229249012,78.4584980237154,80.6324110671937,84.9802371541502,78.2608695652174,82.4110671936759,84.5849802371542,89.3280632411067,5.33596837944664,6.71936758893281,6.12648221343874,5.73122529644269,12.6482213438735,11.4624505928854,7.70750988142293,8.300395256917,15.0197628458498,16.99604743083
capital-world,0.1105216622458,11.0979462875197,57.542768273717,29.5489891135303,74.9611197511664,76.2052877138414,78.8706739526412,67.3405909797823,74.3169398907104,76.3608087091757,77.959927140255,2.15966062475897,3.04666409564211,3.43231777863479,4.85923640570768,14.8862321635172,2.81527188584651,2.77670651754724,3.31662167373698,4.473582722715,15.0790590050135
city-in-state,0.405350628293474,17.2915747684164,34.6621293145357,24.0641711229946,48.5172581429266,29.8492950899368,28.8368891947694,34.5649003403014,32.2092222986924,29.9951385512883,28.2174810736407,2.86722540802823,2.16144684605205,3.48478164975739,5.4697838553154,5.51389501543891,2.11733568592854,3.9258932509925,2.51433612704014,3.26422584913983,6.61667401852669
currency,0,15.2985074626866,10.15625,4.6875,10.9375,14.84375,12.7906976744186,17.96875,16.2790697674419,20.3125,18.6046511627907,0.887573964497041,0.29585798816568,0.29585798816568,0,0,0.887573964497041,0.29585798816568,0.887573964497041,0.591715976331361,0.29585798816568
family,8.49802371541502,83.3333333333333,46.1988304093567,41.5204678362573,50.8771929824561,45.3216374269006,57.0175438596491,54.093567251462,69.8830409356725,52.9239766081871,67.2514619883041,6.90476190476191,17.8571428571429,13.5714285714286,12.6190476190476,6.66666666666667,20.4761904761905,19.047619047619,22.8571428571429,19.5238095238095,8.80952380952381
gram1-adjective-to-adverb,0,11.9540229885057,5.17241379310345,3.81773399014778,11.3300492610837,20.8128078817734,35.6923076923077,12.9310344827586,23.8461538461538,16.256157635468,29.2307692307692,2.41935483870968,1.51209677419355,4.43548387096774,4.33467741935484,1.61290322580645,1.91532258064516,2.11693548387097,6.1491935483871,2.52016129032258,3.2258064516129
gram2-opposite,0,43.8405797101449,9.04761904761905,10,21.9047619047619,16.4285714285714,29.4117647058823,25.952380952381,38.6029411764706,23.3333333333333,34.1911764705882,1.44927536231884,0.72463768115942,6.15942028985507,4.52898550724638,1.81159420289855,1.99275362318841,2.17391304347826,3.98550724637681,6.52173913043478,0.543478260869565
