main-forums	answer-answer	2016	0008	3	I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours. 	I remained under the banyan tree, exhausted by my daily ritual of herding the cats every two hours. 	StackExchange Network: http://writers.stackexchange.com/questions/6879 Author: Fortiter (http://writers.stackexchange.com/users/4332)	StackExchange Network: http://writers.stackexchange.com/questions/6879 Author: Lauren Ipsum (http://writers.stackexchange.com/users/553)
main-forums	answer-answer	2016	0015	3	In the US, it will depend on the school.	It really depends on the school and the program.	StackExchange Network: http://academia.stackexchange.com/questions/17697 Author: Kathy (http://academia.stackexchange.com/users/15364)	StackExchange Network: http://academia.stackexchange.com/questions/2100 Author: scientifics (http://academia.stackexchange.com/users/1081)
main-forums	answer-answer	2016	0028	0	There's also what the string is made of.	There is also a Youtube-Version of the film.	StackExchange Network: http://music.stackexchange.com/questions/20654 Author: Nick of Music (http://music.stackexchange.com/users/12375)	StackExchange Network: http://movies.stackexchange.com/questions/12530 Author: knut (http://movies.stackexchange.com/users/132) Last Editor: knut (http://movies.stackexchange.com/users/132)
main-forums	answer-answer	2016	0034	0	You also imply you may not be paid if they cannot place you with a client.	You can do it, but you might not be a professor.	StackExchange Network: http://workplace.stackexchange.com/questions/36856 Author: akton (http://workplace.stackexchange.com/users/5629)	StackExchange Network: http://academia.stackexchange.com/questions/23873 Author: Bill Barth (http://academia.stackexchange.com/users/11600)
main-forums	answer-answer	2016	0040	2	I did this one time as well.	I have this habit as well.	StackExchange Network: http://cooking.stackexchange.com/questions/12055 Author: Stella (http://cooking.stackexchange.com/users/10133) Last Editor: Neil Fein (http://cooking.stackexchange.com/users/1601)	StackExchange Network: http://writers.stackexchange.com/questions/9186 Author: JBeck (http://writers.stackexchange.com/users/6085)
main-forums	answer-answer	2016	0041	0	You just have to base your answer on what you do know, which is what you want.	You may want it, but the process given to you is what you have to work within.	StackExchange Network: http://workplace.stackexchange.com/questions/9526 Author: pdr (http://workplace.stackexchange.com/users/759) Last Editor: pdr (http://workplace.stackexchange.com/users/759)	StackExchange Network: http://workplace.stackexchange.com/questions/13305 Author: Wesley Long (http://workplace.stackexchange.com/users/9264) Last Editor: Wesley Long (http://workplace.stackexchange.com/users/9264)
main-forums	answer-answer	2016	0047	5	You do not need to worry.	You don't have to worry.	StackExchange Network: http://academia.stackexchange.com/questions/40376 Author: Michael (http://academia.stackexchange.com/users/22213)	StackExchange Network: http://pets.stackexchange.com/questions/6824 Author: Delusion (http://pets.stackexchange.com/users/3783)
main-forums	answer-answer	2016	0048	3	You should do it.	You should do what it says.	StackExchange Network: http://workplace.stackexchange.com/questions/5672 Author: amphibient (http://workplace.stackexchange.com/users/3298) Last Editor: amphibient (http://workplace.stackexchange.com/users/3298)	StackExchange Network: http://academia.stackexchange.com/questions/8812 Author: tomasz74 (http://academia.stackexchange.com/users/5973)
main-forums	answer-answer	2016	0061	2	You should just ask your boss what he wants you to do.	You should listen to your boss, because you're not paid to tell the boss what to do.	StackExchange Network: http://workplace.stackexchange.com/questions/34465 Author: David K (http://workplace.stackexchange.com/users/16983)	StackExchange Network: http://workplace.stackexchange.com/questions/4343 Author: user16803 (http://workplace.stackexchange.com/users/16803) Last Editor: Hugo Rocha (http://workplace.stackexchange.com/users/12796)
main-forums	answer-answer	2016	0065	0	You need to read a lot to know what you like and what you don't.	You have to decide how much you want to demand, and what unmet demands you can live with.	StackExchange Network: http://writers.stackexchange.com/questions/12166 Author: Lexi (http://writers.stackexchange.com/users/2410)	StackExchange Network: http://workplace.stackexchange.com/questions/23782 Author: Vietnhi Phuvan (http://workplace.stackexchange.com/users/16993) Last Editor: Vietnhi Phuvan (http://workplace.stackexchange.com/users/16993)
main-forums	answer-answer	2016	0080	2	It depends on what you want to have in your tank.	i think it depends what you want:	StackExchange Network: http://pets.stackexchange.com/questions/6042 Author: Delusion (http://pets.stackexchange.com/users/3783)	StackExchange Network: http://music.stackexchange.com/questions/5474 Author: jambriz (http://music.stackexchange.com/users/1734)
main-forums	answer-answer	2016	0087	5	You can do it, too.	Yes, you can do it.	StackExchange Network: http://diy.stackexchange.com/questions/4321 Author: Jay Bazuzi (http://diy.stackexchange.com/users/80) [CommunityWiki]	StackExchange Network: http://cooking.stackexchange.com/questions/39347 Author: rumtscho (http://cooking.stackexchange.com/users/4638)
main-forums	answer-answer	2016	0092	1	You should do it.	You can do it, too.	StackExchange Network: http://workplace.stackexchange.com/questions/5672 Author: amphibient (http://workplace.stackexchange.com/users/3298) Last Editor: amphibient (http://workplace.stackexchange.com/users/3298)	StackExchange Network: http://diy.stackexchange.com/questions/4321 Author: Jay Bazuzi (http://diy.stackexchange.com/users/80) [CommunityWiki]
main-forums	answer-answer	2016	0102	4	You have to decide what you want to get out of this.	You have to know what you want to do.	StackExchange Network: http://workplace.stackexchange.com/questions/12250 Author: JeffO (http://workplace.stackexchange.com/users/8365)	StackExchange Network: http://academia.stackexchange.com/questions/19431 Author: dorien (http://academia.stackexchange.com/users/14757)
main-forums	answer-answer	2016	0107	4	I have few suggestions for you:	I have two suggestions for you:	StackExchange Network: http://academia.stackexchange.com/questions/13702 Author: Armin Mustafa (http://academia.stackexchange.com/users/9136)	StackExchange Network: http://travel.stackexchange.com/questions/4868 Author: DJClayworth (http://travel.stackexchange.com/users/264)
main-forums	answer-answer	2016	0110	1	You want to start in the room that is the largest to make sure you have the straightest start.	You will have to start with the clinic., and maybe move on to the insurance company.	StackExchange Network: http://diy.stackexchange.com/questions/48512 Author: Linger (http://diy.stackexchange.com/users/5590) Last Editor: Linger (http://diy.stackexchange.com/users/5590)	StackExchange Network: http://money.stackexchange.com/questions/33596 Author: mhoran_psprep (http://money.stackexchange.com/users/5414)
main-forums	answer-answer	2016	0116	1	if you don't want to derail the meeting, but the key is to speak up.	The key thing you need to do in this meeting is listen.	StackExchange Network: http://workplace.stackexchange.com/questions/35530 Author: Telastyn (http://workplace.stackexchange.com/users/2196)	StackExchange Network: http://workplace.stackexchange.com/questions/35897 Author: Quirk (http://workplace.stackexchange.com/users/29197)
main-forums	answer-answer	2016	0120	1	Unfortunately the answer to your question is we simply do not know.	My answer to your question is "Probably Not".	StackExchange Network: http://health.stackexchange.com/questions/718 Author: Ninja Doc (http://health.stackexchange.com/users/83)	StackExchange Network: http://diy.stackexchange.com/questions/26899 Author: Michael Karas (http://diy.stackexchange.com/users/7367)
main-forums	answer-answer	2016	0121	4	As soon as possible.	Start them as early as possible.	StackExchange Network: http://parenting.stackexchange.com/questions/12314 Author: user7185 (No OwnerUserId. Deleted?)	StackExchange Network: http://parenting.stackexchange.com/questions/1425 Author: Rory Alsop (http://parenting.stackexchange.com/users/316)
main-forums	answer-answer	2016	0132	1	You just have to base your answer on what you do know, which is what you want.	It depends on what you want to do next, and where you want to do it.	StackExchange Network: http://workplace.stackexchange.com/questions/9526 Author: pdr (http://workplace.stackexchange.com/users/759) Last Editor: pdr (http://workplace.stackexchange.com/users/759)	StackExchange Network: http://academia.stackexchange.com/questions/26950 Author: Dylan Richard Muir (http://academia.stackexchange.com/users/19984)
