belief	2015	0002	2.70	hollywood will be required occasionally to cast english actors as good guys.	hollywood will also be required to cast english actors to play english characters.
belief	2015	0003	4.00	so sueing companies like boeing because they want to build in a state his "friends" don't control is not hurting job growth?	| decisions based on evidence so sueing companies like boeing because they want to build in a state his "friends" don't control is not hurting job growth?
belief	2015	0005	1.60	insignificant to you maybe.	insignificant 20 bucks a week isn't?
belief	2015	0006	1.80	sorry, agw has been proven.	agw has not been proven.
belief	2015	0007	4.60	and this unemployment bill?	about the unemployment bill?
belief	2015	0010	4.71	yeah, we love the troops the way michael vick loves dogs.	maher: america loves its troops 'the way michael vick loves dogs' | newsbusters.org
belief	2015	0011	3.60	don't cook for him - he's a grown up.	don't worry about him - he's a grown up.
belief	2015	0015	4.20	this "plot" smells a rat.	not srs this "plot" smells a rat.
belief	2015	0019	4.60	but what i said to myself was "do i deserve this for the rest of my life or do i deserve better?"	so ask yourself "do i deserve this for the rest of my life or do i deserve better?"...i
belief	2015	0022	3.20	and for people who have gone through that experience life is cheap and with a shell-shocked mind can be extremely dangerous to themselves and to others hotwater society trains our soldiers to kill in time of war and yet expects them to respect life in time of peace.	and for people who have gone through that experience life is cheap and with a shell-shocked mind can be extremely dangerous to themselves and to others : often, none of that seems to matter once they've been used as means toward achieving an end desired by the machine.
belief	2015	0023	3.00	the irony of wistful recollections of past protest adventures clothed as they were in a style and form so like their own caricatures of the "reactionary" forces they opposed" and yet i fought on the ground in viet nam.	the irony of wistful recollections of past protest adventures clothed as they were in a style and form so like their own caricatures of the "reactionary" forces they opposed, was just too much for me.
belief	2015	0025	2.40	do you know who benefits from profits?	do you know who shareholders are?
belief	2015	0026	3.20	2) when i said this-- "i think making excuses for racism is a dangerous form of racism.	5) that dlowan sees this as a personal attack is stretching far too thin-- "i think making excuses for racism is a dangerous form of racism.
belief	2015	0027	4.60	that doesn't make any sense.	it just doesn't make sense.
belief	2015	0030	4.00	ishallriseagain fucked around with this message at jan 04, 2012 around 06:06 every single person who is assuming zimmerman should be in jail just because the kid he shot was black.	every single person who is assuming zimmerman should be in jail just because the kid he shot was black.
belief	2015	0031	4.80	that's why i can no longer support them.	i can no longer support them.
belief	2015	0033	2.40	claim: powell claimed that iraq was building long-range remote drones specifically designed to carry biological weapons.	claim: powell claimed that "unnamed sources" confirmed that saddam had authorized his field commanders to use biological weapons.
belief	2015	0034	4.60	and the idea was to help people connect with volunteer opportunities.	and they would try and put people together with volunteer opportunities.
belief	2015	0035	5.00	what point are you trying to relay?	what are you trying to say?
belief	2015	0037	4.00	2. im not sure if i can include my own thoughts surrounding decisions.	3. im not sure if i can include objections and conerns i raised at the time about decisions.
belief	2015	0041	3.70	ok, thanks for the explanation.	thanks for the heads up.
belief	2015	0043	4.80	for your advice guys!!	for your advice guys...my
belief	2015	0046	4.20	would't be shocked if they used nukes either tbh that is a big claim, it would quite an amazing escalation if israel used nuclear bombs on iran.	that is a big claim, it would quite an amazing escalation if israel used nuclear bombs on iran.
belief	2015	0047	4.00	i had a dream i was surronded by bamboo, on my belly and scared.	a little over a year later i was surronded by bamboo, on my belly and scared.
belief	2015	0048	0.00	here's a link to an interview he gave about the spill.	that is what liberty is about, after all.
belief	2015	0049	5.00	i just don't get this.	it just doesn't make sense.
belief	2015	0050	4.00	"[o]ne thing that i do know is his having grown up in kenya, his view of the brits, for example, very different than the average american," huckabee told host steve malzberg, the washington post reported.	and one thing that i do know is his having grown up in kenya - his view of the brits, for example, very different from the average american.
belief	2015	0051	5.00	i am sorry for this news to you but this has been the case since...well,	[quote=trajan;4550118] i am sorry for this news to you but this has been the case since...well,
belief	2015	0053	3.90	libertarian lunkhead parroting the neocon/teabagger rhetoric...and	or are you truly just another libertarian lunkhead parroting your neocon/teabagger cousin's stupidity?
belief	2015	0054	2.40	that's a substantial drop that you are choosing to ignore.	that's what laffer was saying and that's what you are choosing to ignore.
belief	2015	0055	4.20	the jooz mushy has to be the odds on favorite.	mushy has to be the odds on favorite.
belief	2015	0058	2.40	you left out oil companies, braniac.	opec aren't oil companies, braniac.
belief	2015	0061	2.33	obama's approval ratings are hovering below 50%, yet he has made the list for the 4th year in a row.	grief he's at the top of the list for the 4th year in a row.
belief	2015	0062	3.40	eventually we'll all be good with "a full time job with the feds."	i'm all good now i got a full time job with the feds.
belief	2015	0063	3.80	the worst economic recovery since the great depression - forbes if reid and pelosi had actually investigated gwb as you claim and i wished then he and many of his administration and other war criminals would now be in prison.	if reid and pelosi had actually investigated gwb as you claim and i wished then he and many of his administration and other war criminals would now be in prison.
belief	2015	0064	1.60	i know when one side tries to shut down the debate saying there is a consensus, they're lying.	i know what you're trying to do, but you should aim it at someone who takes the bait.
belief	2015	0065	0.60	needs thinking about.	know what im talking about.
belief	2015	0066	2.30	presi*dent obama would double it.	president obama would continue that trend.
belief	2015	0067	3.00	the gop is fighting for freedom of choice.	so now it is a fight for freedom of choice.
belief	2015	0069	1.60	so now it is a fight for freedom of choice.	the gop is fighting for freedom of religion.
belief	2015	0070	3.40	because gays are yucky and lobster tastes good peach must be busy.	because gays are yucky and lobster tastes good drinking already?
belief	2015	0072	0.80	japan surrendered unconditionally.	germany surrendered in april.
belief	2015	0075	3.80	"why didn't we hear about the deficit during the bush administration?"	why didn't we ever hear about it during the bush admin when during his admin the national debt was more than doubled?
belief	2015	0076	4.20	what is limbaugh's or beck's "intent" when they take some innocuous comment uttered by someone in the obama administration, or the president himself, and create an entire show about it?	moving on..."what is limbaugh's or beck's "intent" when they take some innocuous comment uttered by someone in the obama administration,..."
belief	2015	0078	0.60	i'm serious about this.	i'm not sure about any of those.
belief	2015	0079	3.80	given the israeli mentality i would say we will see them strike iran.	would't be shocked if they used nukes either tbh given the israeli mentality i would say we will see them strike iran.
belief	2015	0081	2.40	i'm not talking about this year, maggie.	you're not talking about current events.
belief	2015	0083	1.20	well they already are taught about homosexuality in schools.	the reality is it is not anyone's focus to actually improve the schools.
belief	2015	0084	3.40	mr brown said he had asked the cabinet secretary, britain's most senior civil servant, to arrange support for all parties that might be involved in talks over a possible future coalition government.	"i have asked the cabinet secretary to arrange for the civil service to provide support on request to parties engaged in discussions on the formation of government."
belief	2015	0088	3.80	- video shows usda official saying she didn't give 'full force' of help to white farmer date says 7/20.	- video shows usda official saying she didn't give 'full force' of help to white farmer try to read the entire thread before post, as it will make you appear less silly.
belief	2015	0089	1.80	read a little deeper in the wikipedia article.	you really do need to read what other experts in the field are saying, my friend.
belief	2015	0093	4.20	i have to say im bad and have called in sick before when i wasnt really sick.	i have called in sick when i wasn't cat...not
belief	2015	0094	3.20	the entire caribbean ocean has been poisoned.	the entire caribbean poisoned?
belief	2015	0096	3.20	only six percent of posters will read that entire article.	imagine if rdean knew how to build an intelligent op only six percent of posters will read that entire article.
belief	2015	0101	4.40	the jury instruction given on this clearly put the question of first amendment protection in their laps.	the jury is charged on the law and in this case material fact was the free speech 1st amendment protection.
belief	2015	0102	0.70	by the way, the truth of the super committee negotiations is that the democrats didn't off one single plan.	i'd say the precedent was set when the democrats gave clinton a pass for lying under oath.
belief	2015	0105	3.60	the official spoke on condition of anonymity because the crash is still being investigated.	the official, who spoke on condition of anonymity, said he was receiving his information from an afghan officer in kabul.
belief	2015	0107	3.60	does not have the vision or the courage to sustain a program like apollo.	doesn't have the vision to "sustain" apollo?
belief	2015	0109	0.00	people forgave clinton for the lying because the question never should have been asked in the first place.	no need for lawyers because the strings are pulled so that they aren't ever charged in the first place.
belief	2015	0113	1.80	you've worn out the handle on your favorite mug.	you've worn the finish off your coffee table.
