main-news	headlines	2016	0012	4	Driver backs into stroller with child, drives off	Driver backs into mom, stroller with child then drives off	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0015	5	Spain Princess Testifies in Historic Fraud Probe	Spain princess testifies in historic fraud probe	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0025	5	Senate confirms Obama nominee to key appeals court	Senate approves Obama nominee to key appeals court	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0044	5	U.N. rights chief presses Egypt on Mursi detention	UN Rights Chief Presses Egypt on Morsi Detention	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0052	5	US Senate confirms Janet Yellen as US Federal Reserve chief	Senate confirms Janet Yellen as next Federal Reserve Chair	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0057	5	Syrian Rebel Groups Battle Each Other in North	Syrian rebel groups battle each other in north	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0063	3	Mayawati demands president's rule in Kashmir	Mayawati demands Presidents rule in Jammu and Kashmir	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0067	4	Uganda's president signs anti-gay bill	Uganda's president signs harsh anti-gay law	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0070	5	Rocks, Tear Gas Fly as Thai Protests Heat Up	Rocks, tear gas fly as Thai protests heat up	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0071	5	Boston bombing suspect buried in Virginia	Boston bomb suspect buried in Virginia cemetery	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0076	5	Six dead in Philippine restaurant blast	6 killed in Philippines restaurant blast	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0081	5	China army newspaper hits out at US's PRISM programme	China army newspaper slams US's PRISM program	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0082	4	Silvio Berlusconi expelled from Italy's parliament	Silvio Berlusconi expelled from parliament	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0103	5	Two killed in Bahrain car explosion	Two killed in Bahrain car blast	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0121	5	Russia warns it will respond if interests attacked in Ukraine	Russia warns it will 'respond' if interests in Ukraine attacked	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0134	4	Hosni Mubarak retrial adjourned until 8 June	Mubarak retrial adjourned to June	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0142	4	Egypt protesters defy cabinet threat to end sit-ins	Egypt protesters defy cabinet threat	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0149	5	Couple marry in the UK's first Scientology wedding	Couple get married in Britain's first Scientology wedding	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0160	4	Qatar's emir hands power to his son	Qatari emir hands power to son Tamim	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0163	3	Philippines typhoon death toll feared to hit 7,000	Philippines typhoon death toll rises above 5,000	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0164	4	Egypt braces for 'Friday of anger' after carnage	Egypt braces for Friday of anger after bloody crackdown	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0170	4	Red Sox Beat Tigers 5-2 to Advance to World Series	Red Sox beat Tigers to reach World Series	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0175	4	China lands Jade Rabbit robot rover on Moon	China lands robot rover on moon	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-news	headlines	2016	0192	4	Ukrainian parliament dismisses president	Ukraine's parliament votes to dismiss president	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
