SICK		1	4.5	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background
SICK		2	3.2	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background
SICK		3	4.7	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile
SICK		4	3.6	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling
SICK		5	3.4	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background
SICK		6	3.3	There is no boy playing outdoors and there is no man smiling	A group of kids is playing in a yard and an old man is standing in the background
SICK		7	3.7	A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby
SICK		8	3	A group of children is playing in the house and there is no man standing in the background	The young boys are playing outdoors and the man is smiling nearby
SICK		9	3.7	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background
SICK		10	4.9	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants
SICK		11	3.665	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants
SICK		12	4	Two dogs are fighting	Two dogs are wrestling and hugging
SICK		13	3.3	Two dogs are wrestling and hugging	There is no dog wrestling and hugging
SICK		14	3.5	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting
SICK		15	2.7	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging
SICK		16	2.9	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants
SICK		17	2.3	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants
SICK		18	3.2	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging
SICK		19	4.9	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike
SICK		20	3.6	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike
SICK		21	3	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket
SICK		22	4.3	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel
SICK		23	4.1	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel
SICK		24	3.4	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel
SICK		25	2.8	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike
SICK		26	3.7	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike
SICK		27	3.2	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike
SICK		28	3.4	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel
SICK		29	3.3	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike
SICK		30	4.9	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game
SICK		31	4	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game
SICK		32	4.2	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game
SICK		33	4.7	A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background
SICK		34	3.9	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background
SICK		35	3.6	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background
SICK		36	3.5	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background
SICK		37	4	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game
SICK		38	3.5	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background
SICK		39	3.6	The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background
SICK		40	3.8	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game
SICK		41	4.4	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching
SICK		42	3.4	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching
SICK		43	4	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching
SICK		44	4.9	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match
SICK		45	3.9	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match
SICK		46	3.9	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight
SICK		47	3.415	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight
SICK		48	3.7	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching
SICK		49	3.7	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching
SICK		50	3.6	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match
SICK		51	3.9	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match
SICK		52	4.9	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves
SICK		53	4	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves
SICK		54	3.9	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts
SICK		55	4.4	Three boys are jumping in the leaves	Three kids are jumping in the leaves
SICK		56	3.8	Three kids are sitting in the leaves	Three kids are jumping in the leaves
SICK		57	4.1	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves
SICK		58	3.5	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves
SICK		59	3.9	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves
SICK		60	3.1	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves
SICK		61	3.9	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves
SICK		62	4	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves
SICK		63	4.4	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels
SICK		64	3.8	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels
SICK		65	2.9	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels
SICK		66	4.8	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels
SICK		67	4.1	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels
SICK		68	4.6	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels
SICK		69	3.6	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels
SICK		70	4.1	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels
SICK		71	3.3	There is no child lying in the snow and making snow angels	Two people in snowsuits are lying in the snow and making snow angels
SICK		72	2.5	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children
SICK		73	4.2	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels
SICK		74	4.7	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume
SICK		75	3.8	A little girl is looking at a woman in costume	The little girl is looking at a man in costume
SICK		76	2.9	A little girl is looking at a woman in costume	A little girl in costume looks like a woman
SICK		77	4.4	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest
SICK		78	3.2	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions
SICK		79	3.635	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction
SICK		80	1.3	Masked people are looking in the same direction in a forest	A little girl is looking at a woman in costume
