plagiarism	2016	0002	1	Vector space representation results in the loss of the order which the terms are in the document.	If a term occurs in the document, the value will be non-zero in the vector.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g1pB_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g3pA_taskc.txt
plagiarism	2016	0009	1	Inheritance in object oriented programming is a way to form new classes using classes that have already been defined.	The peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pD_taska.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pC_taska.txt
plagiarism	2016	0010	5	To explain further vector space models, basically a document is characterized by a vector.	A document is represented as a vector.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g2pB_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g4pB_taskc.txt
plagiarism	2016	0011	3	Bayes’ theorem was names after Rev Thomas Bayes and is a method used in probability theory.	As an official theorem, Bayes' theorem is valid in all universal interpretations of probability.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskd.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g2pB_taskd.txt
plagiarism	2016	0014	2	If a term appears in the document then its value in the vector is non-zero.	A document is represented as a vector and each dimension corresponds to a separate term.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskc.txt
plagiarism	2016	0020	3	• P(A|B) is the conditional probability of A, given B.	• P(B|A) is the conditional probability of B given A.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g4pC_taskd.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g4pC_taskd.txt
plagiarism	2016	0025	5	The differing application has a direct influence on what the definition of the term means.	The way that a 'term' is defined depends on the application.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g2pB_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g3pA_taskc.txt
plagiarism	2016	0026	5	Thus, the "program" is the optimal plan of action that is being produced.	Thus, the "program" is the optimal plan for action that is produced.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g3pC_taske.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pE_taske.txt
plagiarism	2016	0027	5	Thus, the "program" is the optimal plan for action that is produced.	Therefore, the "program" is the optimal plan for action that is produced.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pE_taske.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g4pC_taske.txt
plagiarism	2016	0029	4	One of the best known schemes is tf-idf weighting (see the example below).	One of the best known methods is called tf-idf weighting.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: orig_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskc.txt
