SMTeuroparl	2012test	0000	4.500	The leaders have now been given a new chance and let us hope they seize it.	The leaders benefit aujourd' hui of a new luck and let's let them therefore seize it.
SMTeuroparl	2012test	0001	5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 is proposing certain changes in the references to paragraphs.
SMTeuroparl	2012test	0002	4.250	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that among our allies, there are strong of this tax.
SMTeuroparl	2012test	0003	4.500	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30pm
SMTeuroparl	2012test	0004	5.000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.
SMTeuroparl	2012test	0005	5.000	Neither was there a qualified majority within this House to revert to Article 272.	There was not a majority voting in Parliament to go back to Article 272.
SMTeuroparl	2012test	0006	4.667	It increases the power of the big countries at the expense of the small countries.	It has the effect of augmenting the potency of the big countries to the detriment of babies.
SMTeuroparl	2012test	0007	5.000	The fishermen are inactive, tired and disappointed.	The fishers are inactive, tired and disappointed.
SMTeuroparl	2012test	0008	5.000	The leaders have now been given a new chance and let us hope they seize it.	Leaders now have another chance to let them and therefore take.
SMTeuroparl	2012test	0009	5.000	The vote will take place today at 5.30 p.m.	The vote will take place at 17h30.
SMTeuroparl	2012test	0010	4.000	There must be a balance as a whole.	The body must be in balance.
SMTeuroparl	2012test	0011	3.500	We often pontificate here about being the representatives of the citizens of Europe.	We are proud often here to represent the citizens of Europe.
SMTeuroparl	2012test	0012	4.750	(Parliament adopted the legislative resolution)	(The Parliament adopts legislative resolution)
SMTeuroparl	2012test	0013	3.750	The leaders have now been given a new chance and let us hope they seize it.	The leaders benefit aujourd ' hui d ' a new chance and therefore let us let them it grab.
SMTeuroparl	2012test	0014	4.250	I am one of those Members who attends sittings quite faithfully.	I belong to the Members who are present rather honourably.
SMTeuroparl	2012test	0015	5.000	Tunisia	Tunisia
SMTeuroparl	2012test	0016	4.333	Neither was there a qualified majority within this House to revert to Article 272.	It did not not more of the qualified majority in this Parliament to return to the Article 272.
SMTeuroparl	2012test	0017	4.500	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained, at second reading, a crisis is at the root of this modification of Directive.
SMTeuroparl	2012test	0018	5.000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of citizens on bureaucracy.
SMTeuroparl	2012test	0019	5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 proposes changes to certain paragraphs references.
SMTeuroparl	2012test	0020	4.000	We often pontificate here about being the representatives of the citizens of Europe.	We take pride often here to represent the European citizens.
SMTeuroparl	2012test	0021	5.000	Thank you, Commissioner.	Thank you, Commissioner.
SMTeuroparl	2012test	0022	4.750	We often pontificate here about being the representatives of the citizens of Europe.	Often we are proud of representing Europe's citizens.
SMTeuroparl	2012test	0023	5.000	Thank you, Commissioner.	Thank you, Commissioner.
SMTeuroparl	2012test	0024	5.000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)
SMTeuroparl	2012test	0025	5.000	Let me remind you that our allies include fervent supporters of this tax.	I want to say to you that among our allies, there are fervent of this tax.
SMTeuroparl	2012test	0026	4.750	Let me remind you that our allies include fervent supporters of this tax.	I insist on reminding you that among our allies, there are devotees of this tax.
SMTeuroparl	2012test	0027	4.500	Then perhaps we could have avoided a catastrophe.	Perhaps we should have been able to prevent a disaster.
SMTeuroparl	2012test	0028	4.750	Selective aid, such as market support and a grass subsidy, are essential.	Specific aid as the support of the market or the premium on grass are essential.
SMTeuroparl	2012test	0029	5.000	It increases the power of the big countries at the expense of the small countries.	It has increased the power of the large countries to the detriment of small.
SMTeuroparl	2012test	0030	4.500	That provision could open the door wide to arbitrariness.	This point of the rules of procedure opens the door to the arbitrary.
SMTeuroparl	2012test	0031	4.250	Maij-Weggen report (A5-0323/2000)	Relation Maij-Weggen (A5-0323/2000)
SMTeuroparl	2012test	0032	4.750	Thank you, Commissioner.	Thank-You, Mister the Commissioner.
SMTeuroparl	2012test	0033	4.250	We often pontificate here about being the representatives of the citizens of Europe.	We we take pride often here of representing the european citizens.
SMTeuroparl	2012test	0034	5.000	It increases the power of the big countries at the expense of the small countries.	It has in fact increased the power of large countries to the detriment of small.
SMTeuroparl	2012test	0035	5.000	Then perhaps we could have avoided a catastrophe.	Perhaps then we would have avoided a catastrophe.
SMTeuroparl	2012test	0036	4.500	There must be a balance as a whole.	Group must be in equilibrium.
SMTeuroparl	2012test	0037	5.000	Neither was there a qualified majority within this House to revert to Article 272.	There was not either qualified majority within this Parliament to come back to the article 272.
SMTeuroparl	2012test	0038	5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 proposes certain changes in the references to paragraphs.
SMTeuroparl	2012test	0039	5.000	Maij-Weggen report (A5-0323/2000)	Maij-Weggen report (A5-0323 / 2000)
SMTeuroparl	2012test	0040	4.250	Mr President, I rise in defence of the workers in the industry.	Mr President, I wish to take the protection of workers of this sector.
SMTeuroparl	2012test	0041	5.000	Thank you, Commissioner.	Thank you, Commissioner.
SMTeuroparl	2012test	0042	5.000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment 7 proposes certain modifications in the references to the paragraphs.
SMTeuroparl	2012test	0043	4.000	The leaders have now been given a new chance and let us hope they seize it.	The leaders benefit today of a new chance and thus let the matter.
SMTeuroparl	2012test	0044	4.500	I am one of those Members who attends sittings quite faithfully.	I am one of the Members who are rather honourably here.
SMTeuroparl	2012test	0045	4.750	The vote will take place today at 5.30 p.m.	The vote will take place with 17h30.
SMTeuroparl	2012test	0046	4.800	It increases the power of the big countries at the expense of the small countries.	This has the effect of increasing the power of the large countries at the expense of small.
SMTeuroparl	2012test	0047	4.250	The leaders have now been given a new chance and let us hope they seize it.	The leaders profit aujourd' hui of a new luck and let us leave them therefore to seize it.
SMTeuroparl	2012test	0048	5.000	Thank you, Commissioner.	Thank you, Commissioner.
